code,geo,pop,house,under_house,under_house_single,under_pop,under_house_ratio,under_house_single_ratio
37390,칠곡군,"46,171",3,3,"111,574",3,0,100
37400,예천군,"18,805",14,2,"40,601",54,0.1,14.3
37410,봉화군,"13,886",8,,"30,078",24,0.1,0
37420,울진군,"21,468",10,3,"46,873",23,0,30
37430,울릉군,"4,037",3,,"8,396",10,0.1,0
38030,진주시,"133,507",122,40,"329,806",276,0.1,32.8
38050,통영시,"53,244",25,11,"129,911",54,0,44
38060,사천시,"44,503",9,5,"106,362",13,0,55.6
38070,김해시,"186,473",44,44,"499,812",44,0,100
38080,밀양시,"43,124",8,,"97,827",20,0,0
38090,거제시,"93,977",101,33,"240,066",233,0.1,32.7
38100,양산시,"109,213",14,4,"281,913",32,0,28.6
38110,창원시,"391,279",733,382,"1,009,807","1,348",0.2,52.1
38310,의령군,"12,173",3,3,"25,083",3,0,100
38320,함안군,"26,729",7,,"63,307",20,0,0
38330,창녕군,"25,984",20,,"56,644",78,0.1,0
38340,고성군,"22,241",53,12,"49,398",107,0.2,22.6
38350,남해군,"19,672",6,,"41,170",20,0,0
38360,하동군,"19,313",21,4,"42,463",56,0.1,19
38370,산청군,"14,997",10,6,"31,971",18,0.1,60
38380,함양군,"16,676",7,6,"36,221",8,0,85.7
38390,거창군,"24,719",16,,"57,024",56,0.1,0
38400,합천군,"20,419",15,4,"42,563",41,0.1,26.7
39010,제주시,"163,454",385,149,"428,958",904,0.2,38.7
39020,서귀포시,"56,890",136,22,"144,180",477,0.2,16.2
